framework,family,class,parameter_name,value_default,value_type,description
autogluon,lgb,LGBModel,learning_rate,0.05,"Real(0.005, 0.2)",
autogluon,lgb,LGBModel,feature_fraction,1.0,"Real(0.75, 1.0)",
autogluon,lgb,LGBModel,min_data_in_leaf,20,"Int(2, 60)",
autogluon,lgb,LGBModel,num_leaves,31,"Int(16, 96)",
autogluon,xgboost,XGBoostModel,n_estimators,10000,int,
autogluon,xgboost,XGBoostModel,booster,gbtree,str,
autogluon,xgboost,XGBoostModel,n_jobs,-1,int,
autogluon,xgboost,XGBoostModel,learning_rate,0.1,"Real(0.005, 0.2)",
autogluon,xgboost,XGBoostModel,max_depth,6,"Int(3, 10)",
autogluon,xgboost,XGBoostModel,min_child_weight,1,"Int(1, 5)",
autogluon,xgboost,XGBoostModel,colsample_bytree,1.0,"Real(0.5, 1.0)",
autogluon,xgboost,XGBoostModel,objective,binary:logistic,str,
autogluon,rf,RFModel,n_estimators,100,int,"The number of trees in the forest.

.. versionchanged:: 0.22
   The default value of ``n_estimators`` changed from 10 to 100
   in 0.22."
autogluon,rf,RFModel,criterion,gini,str,"The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`.
Note: This parameter is tree-specific."
autogluon,rf,RFModel,max_depth,None,NoneType,"The maximum depth of the tree. If None, then nodes are expanded until
all leaves are pure or until all leaves contain less than
min_samples_split samples."
autogluon,rf,RFModel,min_samples_split,2,int,"The minimum number of samples required to split an internal node:

- If int, then consider `min_samples_split` as the minimum number.
- If float, then `min_samples_split` is a fraction and
  `ceil(min_samples_split * n_samples)` are the minimum
  number of samples for each split.

.. versionchanged:: 0.18
   Added float values for fractions."
autogluon,rf,RFModel,min_samples_leaf,1,int,"The minimum number of samples required to be at a leaf node.
A split point at any depth will only be considered if it leaves at
least ``min_samples_leaf`` training samples in each of the left and
right branches.  This may have the effect of smoothing the model,
especially in regression.

- If int, then consider `min_samples_leaf` as the minimum number.
- If float, then `min_samples_leaf` is a fraction and
  `ceil(min_samples_leaf * n_samples)` are the minimum
  number of samples for each node.

.. versionchanged:: 0.18
   Added float values for fractions."
autogluon,rf,RFModel,min_weight_fraction_leaf,0.0,float,"The minimum weighted fraction of the sum total of weights (of all
the input samples) required to be at a leaf node. Samples have
equal weight when sample_weight is not provided."
autogluon,rf,RFModel,max_features,sqrt,str,"The number of features to consider when looking for the best split:

- If int, then consider `max_features` features at each split.
- If float, then `max_features` is a fraction and
  `max(1, int(max_features * n_features_in_))` features are considered at each
  split.
- If ""sqrt"", then `max_features=sqrt(n_features)`.
- If ""log2"", then `max_features=log2(n_features)`.
- If None, then `max_features=n_features`.

.. versionchanged:: 1.1
    The default of `max_features` changed from `""auto""` to `""sqrt""`.
Note: the search for a split does not stop until at least one
valid partition of the node samples is found, even if it requires to
effectively inspect more than ``max_features`` features."
autogluon,rf,RFModel,max_leaf_nodes,None,NoneType,"Grow trees with ``max_leaf_nodes`` in best-first fashion.
Best nodes are defined as relative reduction in impurity.
If None then unlimited number of leaf nodes."
autogluon,rf,RFModel,min_impurity_decrease,0.0,float,"A node will be split if this split induces a decrease of the impurity
greater than or equal to this value.

The weighted impurity decrease equation is the following::

    N_t / N * (impurity - N_t_R / N_t * right_impurity
                        - N_t_L / N_t * left_impurity)

where ``N`` is the total number of samples, ``N_t`` is the number of
samples at the current node, ``N_t_L`` is the number of samples in the
left child, and ``N_t_R`` is the number of samples in the right child.

``N``, ``N_t``, ``N_t_R`` and ``N_t_L`` all refer to the weighted sum,
if ``sample_weight`` is passed.

.. versionadded:: 0.19"
autogluon,rf,RFModel,bootstrap,True,bool,"Whether bootstrap samples are used when building trees. If False, the
whole dataset is used to build each tree."
autogluon,rf,RFModel,oob_score,False,bool,"Whether to use out-of-bag samples to estimate the generalization score.
By default, :func:`~sklearn.metrics.accuracy_score` is used.
Provide a callable with signature `metric(y_true, y_pred)` to use a
custom metric. Only available if `bootstrap=True`."
autogluon,rf,RFModel,n_jobs,None,NoneType,"The number of jobs to run in parallel. :meth:`fit`, :meth:`predict`,
:meth:`decision_path` and :meth:`apply` are all parallelized over the
trees. ``None`` means 1 unless in a :obj:`joblib.parallel_backend`
context. ``-1`` means using all processors. See :term:`Glossary
<n_jobs>` for more details."
autogluon,rf,RFModel,random_state,None,NoneType,"Controls both the randomness of the bootstrapping of the samples used
when building trees (if ``bootstrap=True``) and the sampling of the
features to consider when looking for the best split at each node
(if ``max_features < n_features``).
See :term:`Glossary <random_state>` for details."
autogluon,rf,RFModel,verbose,0,int,Controls the verbosity when fitting and predicting.
autogluon,rf,RFModel,warm_start,False,bool,"When set to ``True``, reuse the solution of the previous call to fit
and add more estimators to the ensemble, otherwise, just fit a whole
new forest. See :term:`Glossary <warm_start>` and
:ref:`gradient_boosting_warm_start` for details."
autogluon,rf,RFModel,class_weight,None,NoneType,"Weights associated with classes in the form ``{class_label: weight}``.
If not given, all classes are supposed to have weight one. For
multi-output problems, a list of dicts can be provided in the same
order as the columns of y.

Note that for multioutput (including multilabel) weights should be
defined for each class of every column in its own dict. For example,
for four-class multilabel classification weights should be
[{0: 1, 1: 1}, {0: 1, 1: 5}, {0: 1, 1: 1}, {0: 1, 1: 1}] instead of
[{1:1}, {2:5}, {3:1}, {4:1}].

The ""balanced"" mode uses the values of y to automatically adjust
weights inversely proportional to class frequencies in the input data
as ``n_samples / (n_classes * np.bincount(y))``

The ""balanced_subsample"" mode is the same as ""balanced"" except that
weights are computed based on the bootstrap sample for every tree
grown.

For multi-output, the weights of each column of y will be multiplied.

Note that these weights will be multiplied with sample_weight (passed
through the fit method) if sample_weight is specified."
autogluon,rf,RFModel,ccp_alpha,0.0,float,"Complexity parameter used for Minimal Cost-Complexity Pruning. The
subtree with the largest cost complexity that is smaller than
``ccp_alpha`` will be chosen. By default, no pruning is performed. See
:ref:`minimal_cost_complexity_pruning` for details.

.. versionadded:: 0.22"
autogluon,rf,RFModel,max_samples,None,NoneType,"If bootstrap is True, the number of samples to draw from X
to train each base estimator.

- If None (default), then draw `X.shape[0]` samples.
- If int, then draw `max_samples` samples.
- If float, then draw `max(round(n_samples * max_samples), 1)` samples. Thus,
  `max_samples` should be in the interval `(0.0, 1.0]`.

.. versionadded:: 0.22"
autogluon,xt,XTModel,n_estimators,100,int,"The number of trees in the forest.

.. versionchanged:: 0.22
   The default value of ``n_estimators`` changed from 10 to 100
   in 0.22."
autogluon,xt,XTModel,criterion,gini,str,"The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`.
Note: This parameter is tree-specific."
