canonical_model,frameworks_with_model,shared_hyperparams,role,tested_in_fit_experiment,n_translations_tested
random_forest,5,18,both,yes,6640
svm,4,22,both,yes,1203
extra_trees,4,18,both,yes,3384
xgboost,4,13,both,yes,56895
k_nearest_neighbors,4,8,both,yes,420
neural_network,3,23,both,yes,5660
sgd,3,22,both,yes,1286
gradient_boosting,3,20,both,yes,34080
lightgbm,3,18,both,yes,2212
decision_tree,3,11,both,yes,250
naive_bayes,3,8,classifier,yes,402
adaboost,3,7,both,yes,210
logistic_regression,2,15,classifier,yes,278
passive_aggressive,2,15,both,yes,84
gaussian_process,2,8,both,yes,49
catboost,2,7,both,no,0
linear_discriminant_analysis,2,7,classifier,yes,82
quadratic_discriminant_analysis,2,4,classifier,yes,145
