canonical_model,AutoGluon,auto-sklearn,FLAML,H2O,TPOT
adaboost,-,-,-,70.0% (105),85.0% (105)
decision_tree,-,-,-,52.3% (99),86.4% (99)
extra_trees,100.0% (158),-,100.0% (158),-,100.0% (158)
gaussian_process,-,-,-,-,100.0% (49)
gradient_boosting,-,-,-,43.5% (673),65.3% (673)
k_nearest_neighbors,100.0% (128),-,100.0% (128),-,100.0% (128)
linear_discriminant_analysis,-,-,-,-,87.4% (20)
naive_bayes,-,-,-,67.1% (178),100.0% (178)
neural_network,-,-,-,69.0% (51),92.2% (116)
passive_aggressive,-,-,-,-,100.0% (84)
quadratic_discriminant_analysis,-,-,-,-,100.0% (145)
random_forest,100.0% (195),-,100.0% (195),47.7% (195),100.0% (195)
sgd,-,-,100.0% (370),-,100.0% (370)
svm,-,-,90.1% (399),78.1% (399),100.0% (399)
